127.0.0.1, 2015-08-31 11:35:12, GET, /, HTTP/1.1, 303, 0.007000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/default/index, HTTP/1.1, 200, 2.232000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.013000
.012000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-08-31 11:35:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-08-31 11:35:15, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-08-31 11:35:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-08-31 11:35:15, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-08-31 11:35:15, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-08-31 11:35:15, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-08-31 11:35:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-08-31 11:35:32, GET, /admin/default/site, HTTP/1.1, 303, 0.901000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/default/index, HTTP/1.1, 200, 0.937000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.051000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.056000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.055000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.061000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.083000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.071000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.075000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.093000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2015-08-31 11:35:33, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2015-08-31 11:35:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 11:35:37, POST, /admin/default/index, HTTP/1.1, 303, 0.395000
127.0.0.1, 2015-08-31 11:35:38, GET, /admin/default/site, HTTP/1.1, 200, 1.416000
127.0.0.1, 2015-08-31 11:35:39, GET, /admin/static/_2.11.2/images/folder_locked.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-08-31 11:35:39, GET, /admin/static/_2.11.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-08-31 11:35:40, POST, /admin/default/check_version, HTTP/1.1, 200, 0.901000
127.0.0.1, 2015-08-31 11:35:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 11:35:50, POST, /admin/default/site, HTTP/1.1, 303, 0.962000
127.0.0.1, 2015-08-31 11:35:53, GET, /admin/default/design/Ortodontie, HTTP/1.1, 200, 3.088000
127.0.0.1, 2015-08-31 11:35:53, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-08-31 11:35:53, GET, /admin/static/_2.11.2/images/search.png, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-08-31 11:35:53, GET, /admin/static/_2.11.2/images/test_icon.png, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-08-31 11:35:53, GET, /admin/static/_2.11.2/images/delete_icon.png, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-08-31 11:35:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:57:23, GET, /Ortodontie/index.html, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:57:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-08-31 12:57:58, GET, /admin/default/site, HTTP/1.1, 303, 0.051000
127.0.0.1, 2015-08-31 12:57:58, GET, /admin/default/index, HTTP/1.1, 200, 0.218000
127.0.0.1, 2015-08-31 12:58:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:27, POST, /admin/default/index, HTTP/1.1, 303, 0.362000
127.0.0.1, 2015-08-31 12:58:27, GET, /admin/default/site, HTTP/1.1, 200, 0.347000
127.0.0.1, 2015-08-31 12:58:28, POST, /admin/default/check_version, HTTP/1.1, 200, 0.704000
127.0.0.1, 2015-08-31 12:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:34, GET, /Ortodontie/default/index, HTTP/1.1, 500, 1.119000
127.0.0.1, 2015-08-31 12:58:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:49, GET, /Ortodontie/defualt/index.html, HTTP/1.1, 404, 0.074000
127.0.0.1, 2015-08-31 12:58:50, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2015-08-31 12:58:55, GET, /Ortodontie/default/index.html, HTTP/1.1, 500, 0.122000
127.0.0.1, 2015-08-31 12:58:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:56, GET, /admin/default/ticket/Ortodontie/127.0.0.1.2015-08-31.12-58-54.924f44ea-8039-4540-98e9-c48d52d15d0a, HTTP/1.1, 303, 0.052000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/default/index, HTTP/1.1, 200, 0.185000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.020000
00
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-08-31 12:58:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-08-31 12:59:03, POST, /admin/default/index, HTTP/1.1, 303, 0.268000
127.0.0.1, 2015-08-31 12:59:04, GET, /admin/default/ticket/Ortodontie/127.0.0.1.2015-08-31.12-58-54.924f44ea-8039-4540-98e9-c48d52d15d0a, HTTP/1.1, 200, 0.226000
127.0.0.1, 2015-08-31 12:59:04, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-08-31 12:59:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-08-31 13:00:28, GET, /Ortodontie/default/index, HTTP/1.1, 200, 0.082000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.388000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/css/font-awesome.css, HTTP/1.1, 404, 0.387000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/css/style.css, HTTP/1.1, 404, 0.435000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/jquery.easing.min.js, HTTP/1.1, 404, 0.486000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/ga.js, HTTP/1.1, 404, 0.521000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/bootstrap.min.js, HTTP/1.1, 404, 0.558000
